date,temperature
2016-02-11T14:10:18+00:00,3.462057877
2016-02-11T14:10:47+00:00,3.462057877
2016-02-11T14:11:07+00:00,3.462057877
2016-02-11T14:11:25+00:00,3.483507919
2016-02-11T14:11:52+00:00,3.472782898
2016-02-11T14:12:13+00:00,3.472782898
2016-02-11T14:12:42+00:00,3.483507919
2016-02-11T14:13:00+00:00,3.494233179
2016-02-11T14:13:18+00:00,3.483507919
2016-02-11T14:13:43+00:00,3.483507919
2016-02-11T14:14:08+00:00,3.483507919
2016-02-11T14:14:37+00:00,3.483507919
2016-02-11T14:15:02+00:00,3.472782898
2016-02-11T14:15:28+00:00,3.462057877
2016-02-11T14:15:51+00:00,3.451332855
2016-02-11T14:16:21+00:00,3.451332855
2016-02-11T14:16:47+00:00,3.451332855
2016-02-11T14:17:13+00:00,3.451332855
2016-02-11T14:17:35+00:00,3.462057877
2016-02-11T14:18:06+00:00,3.451332855
2016-02-11T14:18:35+00:00,3.440607595
2016-02-11T14:18:56+00:00,3.440607595
2016-02-11T14:19:26+00:00,3.440607595
2016-02-11T14:19:46+00:00,3.451332855
2016-02-11T14:20:04+00:00,3.451332855
2016-02-11T14:20:32+00:00,3.451332855
2016-02-11T14:21:00+00:00,3.440607595
2016-02-11T14:21:26+00:00,3.462057877
2016-02-11T14:21:43+00:00,3.462057877
2016-02-11T14:21:53+00:00,3.698010015
2016-02-11T14:22:11+00:00,4.845595407
2016-02-11T14:22:38+00:00,6.540160942
2016-02-11T14:23:03+00:00,7.794997501
2016-02-11T14:23:23+00:00,8.674455452
2016-02-11T14:23:53+00:00,9.779140282
2016-02-11T14:24:14+00:00,10.51917248
2016-02-11T14:24:39+00:00,11.3235548
2016-02-11T14:24:58+00:00,11.78473358
2016-02-11T14:25:14+00:00,12.23518734
2016-02-11T14:25:33+00:00,12.64274101
2016-02-11T14:25:58+00:00,13.23262196
2016-02-11T14:26:17+00:00,13.64017563
2016-02-11T14:26:47+00:00,14.18715553
2016-02-11T14:27:10+00:00,14.55180912
2016-02-11T14:27:32+00:00,14.92718678
2016-02-11T14:28:00+00:00,15.32401543
2016-02-11T14:28:23+00:00,15.61359386
2016-02-11T14:28:50+00:00,15.98897152
2016-02-11T14:29:17+00:00,16.32145004
2016-02-11T14:29:40+00:00,16.58957748
2016-02-11T14:29:58+00:00,16.7719038
2016-02-11T14:30:20+00:00,16.94350605
2016-02-11T14:31:35+00:00,17.44758587
2016-02-11T14:32:23+00:00,17.98384075
2016-02-11T14:32:46+00:00,18.06964092
2016-02-11T14:33:10+00:00,18.15544109
2016-02-11T14:33:34+00:00,18.19834118
2016-02-11T14:33:58+00:00,18.31631832
2016-02-11T14:34:22+00:00,18.43429356
2016-02-11T14:34:45+00:00,18.5522707
2016-02-11T14:35:54+00:00,18.86329823
2016-02-11T14:36:07+00:00,18.92764835
2016-02-11T14:36:22+00:00,18.97054844
2016-02-11T14:36:40+00:00,19.05635052
2016-02-11T14:36:58+00:00,19.10997562
